Bill Number,Title,Session,Status,Issue,TAN Status,Committee,All Org Action Alerts,Hosted AAs,#Actions,Co-hosted AAs,#Actions,Promoted AAs,#Actions,# Total Actions,# Total Click Throughs,Org's Most Recently Published AA,OMRP Date,OMRP Committee,Created By
"=HYPERLINK(""https://www.takeaction.network/bills/6110"", ""1026"")",Concerning local government design review.,2023,H Housing,Housing,in_committee,House Housing,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1026&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""2"")",2,29,0,0,0,0,29,27,"=HYPERLINK(""https://www.takeaction.network/xactions/32878"", ""Support Objective Design Review (HB 1026 needs a House vote)"")",03/01/2023,House,Daniel W.
"=HYPERLINK(""https://www.takeaction.network/bills/6110"", ""1026"")",Concerning local government design review.,2024,H Housing,Housing,in_committee,House Housing,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1026&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6116"", ""1032"")",Mitigating the risk of wildfires through electric utility planning and ,2023,C 132 L 23,Environment,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1032&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6116"", ""1032"")",Mitigating the risk of wildfires through electric utility planning and ,2024,C 132 L 23,Environment,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1032&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6117"", ""1033"")",Evaluating compostable product usage in Washington.,2023,C 236 L 23,Averting Climate Catastrophe,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1033&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""4"")",4,68,0,0,0,0,68,76,"=HYPERLINK(""https://www.takeaction.network/xactions/33483"", ""Appreciation to Rep. Walen, prime sponsor of Evaluating compostable product usage in Washington"")",04/27/2023,,Daniel W.
"=HYPERLINK(""https://www.takeaction.network/bills/6117"", ""1033"")",Evaluating compostable product usage in Washington.,2024,C 236 L 23,Averting Climate Catastrophe,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1033&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6130"", ""1040"")",Establishing an aviation and aerospace advisory committee.,2023,"H Innov, Comm &",Environment,in_committee,"House Innovation, Community & Economic Development, & Veterans","=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1040&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""1"")",1,8,0,0,0,0,8,8,"=HYPERLINK(""https://www.takeaction.network/xactions/32107"", ""Oppose proposed Aviation & Aerospace Committee"")",01/18/2023,"House Innovation, Community & Economic Development, & Veterans",Daniel W.
"=HYPERLINK(""https://www.takeaction.network/bills/6130"", ""1040"")",Establishing an aviation and aerospace advisory committee.,2024,"H Innov, Comm &",Environment,in_committee,"House Innovation, Community & Economic Development, & Veterans","=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1040&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6132"", ""1042"")",Concerning the use of existing buildings for residential purposes.,2023,C 285 L 23,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1042&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6132"", ""1042"")",Concerning the use of existing buildings for residential purposes.,2024,C 285 L 23,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1042&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6148"", ""1045"")",Creating the evergreen basic income pilot program.,2023,H Approps,Tax Fairness / Income Equality,in_committee,House Appropriations,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1045&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""1"")",1,8,0,0,0,0,8,11,"=HYPERLINK(""https://www.takeaction.network/xactions/32043"", ""Creating the evergreen basic income pilot program"")",01/11/2023,"House Human Services, Youth, & Early Learning",Daniel W.
"=HYPERLINK(""https://www.takeaction.network/bills/6148"", ""1045"")",Creating the evergreen basic income pilot program.,2024,H Approps,Tax Fairness / Income Equality,in_committee,House Appropriations,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1045&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""1"")",1,8,0,0,0,0,8,5,"=HYPERLINK(""https://www.takeaction.network/xactions/34209"", ""Support  HB 1045 (State-wide Basic Income Pilot): Sign in 'Pro' for House Appropriations's Public Hearing"")",01/09/2024,House Appropriations,Ryan D.
